,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health
"Aberdeen, WA",65024.6511276,35061.7911276,59442.451127600005,48379.1311276,31748.3511276,16101.551127599996,42015.6511276,18220.0311276,18067.151127600002,38071.0311276,8078.251127599997,19543.691127599996,1062.0111275999989,5633.611127599997,3189.851127599999,6693.131127599998,9000.431127599997,4094.4911275999984,21228.4911276,18588.971127599994,9867.011127599995,10413.771127599997,22148.868872400002,471.62500004,1955
"Abilene, TX",60228.062385624005,33527.562385624,43629.662385624,43348.462385624,26875.722385623994,13451.922385623999,41065.42238562399,17616.342385623997,13652.382385623998,27469.302385623996,669.3823856239978,9680.622385623996,-4653.737614376005,-2028.697614376004,-5088.457614376002,1955.0623856239981,7467.382385623998,-1874.697614376004,7987.242385623998,10683.702385623998,7286.982385623996,5847.302385623996,22840.697614376004,461.00300000000004,2174
"Akron, OH",47736.98766936,25371.933669359998,36036.43136936,33989.837569359996,23317.14156936,9930.808269359997,27526.595969359994,16255.42406936,7664.594369359998,23102.49516936,-373.3237306400006,8004.480269359992,-5550.521030640004,-1510.174830640004,-3399.5414306400053,-128.4373306400048,6720.729169359995,1778.7855693599959,12859.09196936,10735.73226936,8286.131469359996,3833.9606693599962,22792.333530640004,398.0,2332
"Albany, NY",63980.594761461994,29428.854461462004,34012.74846146201,29620.501261462014,20285.62986146201,6542.152261462004,44967.524461462,13757.047261462008,18276.945661462007,27914.753161462002,-5841.908638537996,4370.504761462005,-8795.345538537997,-3007.067238537995,-7617.569538537995,-4487.4662385379925,-282.20513853799275,-1812.1153385379948,13639.311661462001,7199.030761462003,460.0108614620076,779.8097614620056,28862.522038537994,369.99999995999997,2338
"Albuquerque, NM",36439.63808352999,19044.82808353,29911.143083529994,39650.51408353,26579.976083529993,6817.391083529994,24007.587083529997,9306.446083529994,6208.468083529995,24180.83408353,-1159.0919164700026,6791.085083529997,-7998.221916470004,-5228.4989164700055,-7605.158916470002,-3809.1509164700037,1901.4810835299977,-5826.818916470002,4268.3940835299945,4907.288083529995,3277.6170835299963,1106.2140835299979,24736.223916470004,511.21428572,2279
"Alexandria, VA",53248.41835621099,21289.983356210992,34582.29085621099,23322.62085621099,21222.790856210995,-1780.8866437890028,30094.018356210996,1541.8908562109937,2879.238356210997,10928.610856210995,-11616.754143789003,-4716.404143789008,-18512.594143789007,-15052.336643789007,-17006.596643789002,-14113.041643789002,-6202.236643789009,-9603.274143789007,-5407.836643789007,-1030.2091437890049,-7149.7566437890055,-8562.811643789006,35799.076643789005,452.00000004,2472
"Allegan, MI",50194.380402489,24309.772902489,33224.672902489,35932.772902489,18308.735402489,9106.210402489,29173.585402489,9227.897902489,8143.035402489004,23923.322902489002,429.58540248899953,5851.622902488998,-6859.177097510998,-3033.4770975110005,-4687.5395975110005,-1723.6270975109983,4910.2104024889995,-1672.5395975110005,11579.785402488997,9015.497902488998,5720.072902488999,2643.935402488998,24184.539597511,538.45,2214
"Allen, TX",55441.653355671006,28741.153355671002,38843.253355671,38562.053355671,22089.313355670998,8665.513355671003,36279.01335567099,12829.933355671,8865.973355671002,22682.893355671,-4117.026644328998,4894.213355671,-9440.146644329001,-6815.106644329,-9874.866644328999,-2831.346644328998,2680.9733556710016,-6661.106644329,3200.833355671002,5897.293355671001,2500.573355671,1060.8933556709999,27627.106644329,281.96,2174
"Allentown, PA",56680.06307479301,26820.696574792993,36501.652574793,32532.610474793,25679.512674793004,7057.159774793003,34027.463974793005,17216.169174793,9307.307674793003,24045.289374793,1792.4227747930017,8642.027274793,-6184.202825206998,-1152.1003252070004,-3781.533125206999,-802.188725207001,6134.893674793002,1486.6747747930021,11720.053674793002,10063.351374792997,7803.768174793,4387.034274793001,24068.762225207,479.375,2321
"Alpharetta, GA",42935.20311751199,17857.035617511996,29341.828117512,24902.855617511996,13367.42061751199,1215.6931175119935,26076.918117511996,5296.373117511997,4612.165617512001,14972.815617511995,-6700.444382488,178.94561751199944,-13824.939382488003,-9991.266882488002,-11734.966882488006,-9153.961882488002,-2300.069382488,-8891.584382488003,1726.8906175119955,1430.9981175119974,-3941.7793824880064,-4863.8018824880055,29866.979382488003,481.77600000000007,2392
